Organización,Departamento,Ciudad,Dirección Exacta,Teléfono / WhatsApp,Correo Electrónico,Causa / Área de Acción,Método Actual de Donación,Prioridad Comercial
Fundación Jireh Bolivia,Cochabamba,Cochabamba,"Av. Petrolera km 9, Zona OTB San Carlos",(+591) 67482065,info@fundacionjirehbolivia.org,Educación y desarrollo integral de la niñez,Transferencias bancarias y QR en redes sociales,Alta (Inmediata)
Asociación Tukuy Pacha,Cochabamba,Cochabamba,"América Oeste, Calle Susano Azogue Nº 3092",(+591 4) 4794676,tukuypacha.bo@gmail.com,Inclusión de personas con discapacidad,Caja de ahorros BNB Nº 3500580266 y QR manual,Alta (Inmediata)
Fundación Bolivia Digna,Cochabamba,Cochabamba,Registro departamental en Cochabamba,Plataforma web boliviadigna.org,contacto@boliviadigna.org,Refuerzo escolar y prevención del trabajo infantil,Banco Ganadero Cta 3051-224312 (SWIFT: GNDRB022),Media - Alta
Comunidad Inti Wara Yassi (CIWY),Cochabamba,Villa Tunari,"Sede Parque Machía, Av. Integración",(+591 4) 4136572 / (+591) 70079347,info@intiwarayassi.org,Rescate y custodia de fauna silvestre del tráfico ilegal,BCP Cta 201-5056927-3-01 y donaciones externas,Alta (Inmediata)
Fundación Justicia Social (FJS),Cochabamba,Cochabamba,"Calle Kollasuyo Nº 527, Ciclovía (Maryknoll)",(+591) 67599840,fundacionjusticiasocial@fjsbolivia.org,Derechos humanos y asesoría legal comunitaria,Banco Unión Cta 145221452 y QR de pago único,Media - Alta
Fundación Natura Bolivia,Santa Cruz,Santa Cruz de la Sierra,"Barrio Las Palmas, Calle Río Totaitú Nº 15",(+591 3) 3532126,comunicacion@naturabolivia.org,Conservación de cuencas de agua y bosques (ARA),Transferencias institucionales y aportes directos,Alta (Inmediata)
Fundación Operación Sonrisa Bolivia,Santa Cruz,Santa Cruz de la Sierra,Calle Domingo Banegas Nº 3902,(+591 3) 3446810 / (+591) 77366295,Contacto directo vía operacionsonrisa.org.bo,Cirugías reconstructivas para labio y paladar hendido,BCP Cta 701-5015167-3-89 y cheques manuales,Alta (Inmediata)
Fundación Davosan (Damas Voluntarias),Santa Cruz,Santa Cruz de la Sierra,Calle Santa Bárbara Nº 430,(+591 3) 3341709,davosandonacion@gmail.com,"Medicamentos, prótesis e insumos para enfermos",Donaciones bancarias manuales y aportes en farmacia,Alta (Inmediata)
Fundación Niño Feliz,Santa Cruz,Santa Cruz de la Sierra,"Radial 19, Calle 5",(+591) 75008798,info@fnf.org.bo,"Nutrición, salud y educación integral infantil",Formulario web simple y transferencias bancarias,Media - Alta
Comunidad Encuentro,Santa Cruz,Santa Cruz de la Sierra,Calle José Sciaroni Nº 3350,(+591 3) 3461717,coencuentro@cotas.com.bo,Apoyo psicosocial e inclusión comunitaria de menores,Transferencias directas fiduciarias,Media
Fundación FAUTAPO,Tarija / La Paz / Nacional,Tarija (Central) / La Paz (Reg),Tarija: Calle Campero Nº 275 / LP: Rosendo Gutiérrez Nº 666,(+591 4) 6641676,fautapo@fundacionautapo.org,Educación técnica productiva y desarrollo económico,QR estático BISA y SWIFT: BANIBOLXXXX,Media
Fundación PASOS,Chuquisaca,Sucre,Calle Boquerón Nº 11 (Pockonas) / Ecuador Nº 242,(+591 4) 6434438 / (+591 4) 6425161,rdulon@pasosbolivia.org / aaramayo@pasosbolivia.org,"Gestión del agua, agroecología y cambio climático",Cooperación técnica internacional y bancos,Media
Fundación ACLO (Acción Cultural Loyola),Chuquisaca / Potosí / Tarija,Sucre / Potosí / Tarija,Sucre: Calle Guillermo Loayza Nº 274 / Loa Nº 602,(+591 4) 6452230 / 6462213 / Potosí: (+591 2) 6223660,aclogeneral@aclo.org.bo / aclopotosi@aclo.org.bo,"Educación popular, radio y desarrollo campesino",Donaciones institucionales y transferencias,Media
Fundación PRODAMA,Chuquisaca,Sucre,"Calle Esteban Arce Nº 24 / G. Otero Nº 2, San Antonio Bajo",(+591 4) 6443290 / (+591) 74407560,Contacto institucional directo,Desarrollo andino rural y medio ambiente,Fondos de proyectos y aportes fiduciarios,Media
Centro Juana Azurduy,Chuquisaca,Sucre,Calle Loa Nº 41,(+591 4) 6440904,Contacto vía plataforma institucional,Liderazgo y prevención de violencia hacia la mujer,Subvenciones y transferencias bancarias,Media
Fundación Munasim Kullakita,La Paz / Beni / Nacional,El Alto (Central) / Guayaramerín / Rurrenabaque,El Alto: Calle 7 La Plata Nº 67 / Guayaramerín: Unzaga N° 435,(+591 2) 2843853,Contacto web munasimkullakita.org,"Prevención de trata, albergue y restitución de derechos",Transferencias directas y cooperación internacional,Media
Cáritas Oruro,Oruro,Oruro,Calle Tomás Frías Nº 1460 (entre La Salle y Bullaín),Atención institucional Oruro,pasocaor@hotmail.com,"Asistencia humanitaria, movilidad humana y ancianos",Transferencias bancarias y aportes de solidaridad,Media
PAO Oruro (World Vision),Oruro,Oruro,Calle Tarapacá A Nº 297,(+591) 68225625,pao_oruro@wvi.org,Niñez en tránsito migratorio y ayuda humanitaria,Fondos programáticos internacionales,Media
Fundación Estrella del Sur,Oruro,Oruro,Oruro (Registro departamental),Plataforma estrelladelsurbolivia.org,contacto@estrelladelsurbolivia.org,Desarrollo comunitario y fortalecimiento familiar,Transferencias directas locales,Media
Fundación Orión,Oruro / Nacional,Oruro,Registro departamental,(+591) 71305458 / (+591) 73118968,educacion.iql@gmail.com,"Salud preventiva, educación y desarrollo social",Aportes directos a programas formativos,Baja - Media
